,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Company Type,Status
291,N/A,N/A,ko,N/A,N/A,N/A,N/A,N/A,N/A,48.54,5.04,8.92,10.68,24.14,6.33,16.98,9.05,195860000000.0,218570000000.0,23.22,4.48,5.62,20.07,5.62,25400000000.0,20.07,N/A,0.95,60.20,15.90,27220000000.0,6.38,49720000000.0,1.35,5.16,8369999999.999999,0.63,0.77,67.65,N/A,0.00,0.00,N/A,Consumer Staples,status
292,N/A,N/A,kr,N/A,N/A,N/A,N/A,N/A,N/A,15.45,0.19,3.76,1.32,2.61,5.40,24.04,128.18,22830000000.0,36230000000.0,13.23,6.31,0.31,6.51,0.31,25840000000.0,6.51,N/A,1.66,7.80,3.90,0.92,0.92,14050000000.0,0.87,6.82,4570000000.0,0.26,0.57,79.90,N/A,5.84,6.35,N/A,Consumer Staples,status
293,N/A,N/A,krft,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Staples,status
294,N/A,N/A,kss,N/A,N/A,N/A,N/A,N/A,N/A,12.30,0.44,1.62,3.63,7.34,6.44,13.14,107.98,8100000000.0,12100000000.0,12.95,2.10,0.65,5.23,0.65,6740000000.0,5.23,N/A,3.91,48.60,0.90,3.27,3.27,4570000000.0,1.81,29.75,1680000000.0,1.10,0.98,112.87,N/A,6.7,21.53,N/A,Consumer Discretionary,status
295,N/A,N/A,ksu,N/A,N/A,N/A,N/A,N/A,N/A,22.22,4.63,2.78,21.52,35.02,6.09,12.06,23.18,11430000000.0,14070000000.0,18.74,1.63,5.70,11.93,5.70,1640000000.0,11.93,N/A,4.97,11.90,15.50,166300000.0,1.58,2590000000.0,0.87,39.73,912100000.0,0.65,0.64,87.81,N/A,1.43,1.42,N/A,Industrials,status
296,N/A,N/A,l,N/A,N/A,N/A,N/A,N/A,N/A,14.92,1.28,0.90,8.60,18.73,1.97,6.25,39.42,22110000000.0,22110000000.0,16.55,4.76,1.66,6.64,1.66,7820000000.0,6.64,N/A,3.38,6120000000.0,1.60,6120000000.0,18.17,11290000000.0,0.52,55.90,2710000000.0,0.62,49.79,26.09,N/A,1.61,0.49,N/A,Financials,status
297,N/A,N/A,leg,N/A,N/A,N/A,N/A,N/A,N/A,19.00,1.66,5.59,9.17,12.22,9.20,31.86,27.77,6310000000.0,7190000000.0,17.41,32.55,1.89,12.48,1.89,899200000.0,12.48,N/A,2.52,27.70,3.20,335100000.0,2.53,1190000000.0,2.08,8.56,446600000.0,0.90,1.14,71.59,N/A,8.67,5.67,N/A,Consumer Discretionary,status
298,N/A,N/A,len,N/A,N/A,N/A,N/A,N/A,N/A,18.03,1.20,1.95,6.66,10.95,5.24,10.88,53.01,14650000000.0,20910000000.0,12.87,1.83,1.71,14.92,1.71,2029999999.9999998,14.92,N/A,3.47,5.60,15.10,722710000.0,3.07,6860000000.0,6.76,32.11,838600000.0,1.25,2.10,95.31,N/A,2.69,2.97,N/A,Consumer Discretionary,status
299,N/A,N/A,lh,N/A,N/A,N/A,N/A,N/A,N/A,21.92,1.65,2.72,7.70,14.81,6.15,13.29,94.03,15930000000.0,21760000000.0,15.16,1.75,2.25,11.71,2.25,3180000000.0,11.71,N/A,7.14,7.60,4.90,299900000.0,2.95,6130000000.0,1.39,57.63,1240000000.0,1.11,0.55,93.92,N/A,3.29,2.60,N/A,Health Care,status
300,N/A,N/A,life,N/A,N/A,N/A,N/A,N/A,N/A,2.38,2.38,2.38,0.00,0.00,47700000.0,47700000.0,47700000.0,119030000.0,2.38,2.38,2.38,0.00,0.00,0.00,47700000.0,0.00,N/A,2.19,90380000.0,47700000.0,90380000.0,14750000.0,14750000.0,1.68,1.68,43750000.0,26.15,85.60,0.00,N/A,13.67,3.31,N/A,Health Care,status
